ID,project,region,site,dist_along_transect,sample_type,mass,direction,coordinates,end coordniate,litter_depth_cm,dbh,denisometer,pct_litter,pct_grass,pct_herb,pct_bare
20.0008,lobata,lisque,20.1004,NaN,tube_1,NaN,N,"34.69393, 120.04793",,7,101,32/89,0-2,25-43,5-18,5-18
20.0550,lobata,lisque,20.1004,NaN,tube_1,1.21,SE,"34.69393, 120.04794",,6,102,32/90,0-1,25-44,5-19,5-19
20.0551,lobata,lisque,20.1004,NaN,tube_2,1.63,SE,"34.69393, 120.04795",,5,103,32/91,0-0,25-45,5-20,5-20
20.0552,lobata,lisque,20.1004,NaN,tube_3,NaN,SE,"34.69393, 120.04796",,4,104,32/92,0-1,25-46,5-21,5-21
20.0636,lobata,lisque,20.1004,NaN,tube_1,1.78,SW,"34.69393, 120.04797",,3,105,32/93,0-2,25-47,5-22,5-22
20.0635,lobata,lisque,20.1004,NaN,tube_2,1.51,SW,"34.69393, 120.04798",,2,106,32/94,0-3,25-48,5-23,5-23
20.0634,lobata,lisque,20.1004,NaN,tube_3,NaN,SW,"34.69393, 120.04799",,1,107,32/95,0-4,25-49,5-24,5-24
20.1004,lobata,lisque,20.1004,NaN,tree,NaN,NaN,"34.69393, 120.04800",,0,108,32/96,0-5,25-50,5-25,5-25
20.0005,lobata,lisque,20.1004,NaN,soils bag,NaN,N,"34.69393, 120.04800",,0,108,32/96,0-5,25-50,5-25,5-25
20.0741,lobata,lisque,20.1004,NaN,root bag,NaN,N,"34.69393, 120.04800",,0,108,32/96,0-5,25-50,5-25,5-25
20.0549,lobata,lisque,20.1004,NaN,soils bag,NaN,SE,"34.69393, 120.04800",,0,108,32/96,0-5,25-50,5-25,5-25
20.0755,lobata,lisque,20.1004,NaN,root bag,NaN,SE,"34.69393, 120.04800",,0,108,32/96,0-5,25-50,5-25,5-25
20.0633,lobata,lisque,20.1004,NaN,soils bag,NaN,SW,"34.69393, 120.04800",,0,108,32/96,0-5,25-50,5-25,5-25
20.0667,lobata,lisque,20.1004,NaN,root bag,NaN,SW,"34.69393, 120.04800",,0,108,32/96,0-5,25-50,5-25,5-25
20.0100,lobata,lisque,20.1005,NaN,tube_1,1.62,N,"34.69386, 120.04799",,9,80,37/87,0-4,75-86,0-4,5-16
20.0098,lobata,lisque,20.1005,NaN,tube_2,1.86,N,"34.69386, 120.04800",,8,81,37/88,0-3,75-87,0-3,5-17
20.0099,lobata,lisque,20.1005,NaN,tube_3,NaN,N,"34.69386, 120.04801",,7,82,37/89,0-2,75-88,0-2,5-18
20.0499,lobata,lisque,20.1005,NaN,tube_1,1.64,SE,"34.69386, 120.04802",,6,83,37/90,0-1,75-89,0-1,5-19
20.0498,lobata,lisque,20.1005,NaN,tube_2,1.80,SE,"34.69386, 120.04803",,5,84,37/91,0-0,75-90,0-0,5-20
20.0500,lobata,lisque,20.1005,NaN,tube_3,NaN,SE,"34.69386, 120.04804",,4,85,37/92,0-1,75-91,0-1,5-21
20.0136,lobata,lisque,20.1005,NaN,tube_1,1.43,SW,"34.69386, 120.04805",,3,86,37/93,0-2,75-92,0-2,5-22
20.0134,lobata,lisque,20.1005,NaN,tube_1,1.61,SW,"34.69386, 120.04806",,2,87,37/94,0-3,75-93,0-3,5-23
20.0133,lobata,lisque,20.1005,NaN,tube_2,NaN,SW,"34.69386, 120.04807",,1,88,37/95,0-4,75-94,0-4,5-24
20.1005,lobata,lisque,20.1005,NaN,tree,NaN,NaN,"34.69386, 120.04808",,0,89,37/96,0-5,75-95,0-5,5-25
20.0097,lobata,lisque,20.1005,NaN,soils bag,NaN,N,"34.69386, 120.04808",,0,89,37/96,0-5,75-95,0-5,5-25
20.0673,lobata,lisque,20.1005,NaN,root bag,NaN,N,"34.69386, 120.04808",,0,89,37/96,0-5,75-95,0-5,5-25
20.0497,lobata,lisque,20.1005,NaN,soils bag,NaN,SE,"34.69386, 120.04808",,0,89,37/96,0-5,75-95,0-5,5-25
20.0663,lobata,lisque,20.1005,NaN,root bag,NaN,SE,"34.69386, 120.04808",,0,89,37/96,0-5,75-95,0-5,5-25
20.0133,lobata,lisque,20.1005,NaN,soils bag,NaN,SW,"34.69386, 120.04808",,0,89,37/96,0-5,75-95,0-5,5-25
20.0641,lobata,lisque,20.1005,NaN,root bag,NaN,SW,"34.69386, 120.04808",,0,89,37/96,0-5,75-95,0-5,5-25
20.0286,lobata,lisque,20.1006,NaN,tube_3,1.60,N,"34.69217, 120.04530",,9,116,33/87,0-4,25-41,25-41,5-16
20.0288,lobata,lisque,20.1006,NaN,tube_1,1.54,N,"34.69217, 120.04531",,8,117,33/88,0-3,25-42,25-42,5-17
20.0287,lobata,lisque,20.1006,NaN,tube_2,NaN,N,"34.69217, 120.04532",,7,118,33/89,0-2,25-43,25-43,5-18
20.056,lobata,lisque,20.1006,NaN,tube_3,1.94,SE,"34.69217, 120.04533",,6,119,33/90,0-1,25-44,25-44,5-19
20.0558,lobata,lisque,20.1006,NaN,tube_1,1.72,SE,"34.69217, 120.04534",,5,120,33/91,0-0,25-45,25-45,5-20
20.0559,lobata,lisque,20.1006,NaN,tube_2,NaN,SE,"34.69217, 120.04535",,4,121,33/92,0-1,25-46,25-46,5-21
20.0156,lobata,lisque,20.1006,NaN,tube_3,1.74,SW,"34.69217, 120.04536",,3,122,33/93,0-2,25-47,25-47,5-22
20.0154,lobata,lisque,20.1006,NaN,tube_1,1.40,SW,"34.69217, 120.04537",,2,123,33/94,0-3,25-48,25-48,5-23
20.0155,lobata,lisque,20.1006,NaN,tube_2,NaN,SW,"34.69217, 120.04538",,1,124,33/95,0-4,25-49,25-49,5-24
20.1006,lobata,lisque,20.1006,NaN,tree,NaN,NaN,"34.69217, 120.04539",,0,125,33/96,0-5,25-50,25-50,5-25
20.0285,lobata,lisque,20.1006,NaN,soils bag,NaN,N,"34.69217, 120.04539",,0,125,33/96,0-5,25-50,25-50,5-25
20.076,lobata,lisque,20.1006,NaN,root bag,NaN,N,"34.69217, 120.04539",,0,125,33/96,0-5,25-50,25-50,5-25
20.0557,lobata,lisque,20.1006,NaN,soils bag,NaN,SE,"34.69217, 120.04539",,0,125,33/96,0-5,25-50,25-50,5-25
20.0668,lobata,lisque,20.1006,NaN,root bag,NaN,SE,"34.69217, 120.04539",,0,125,33/96,0-5,25-50,25-50,5-25
20.0153,lobata,lisque,20.1006,NaN,soils bag,NaN,SW,"34.69217, 120.04539",,0,125,33/96,0-5,25-50,25-50,5-25
20.0732,lobata,lisque,20.1006,NaN,root bag,NaN,SW,"34.69217, 120.04539",,0,125,33/96,0-5,25-50,25-50,5-25
20.0112,lobata,lisque,20.1007,NaN,tube_3,1.28,N,"34.69138, 120.04544",,1.4,126,19/87,0-4,50-66,5-16,5-16
20.0111,lobata,lisque,20.1007,NaN,tube_1,1.69,N,"34.69138, 120.04545",,1.3,127,19/88,0-3,50-67,5-17,5-17
20.0110,lobata,lisque,20.1007,NaN,tube_1,NaN,N,"34.69138, 120.04546",,1.2,128,19/89,0-2,50-68,5-18,5-18
20.0216,lobata,lisque,20.1007,NaN,tube_2,1.75,SE,"34.69138, 120.04547",,1.1,129,19/90,0-1,50-69,5-19,5-19
20.0214,lobata,lisque,20.1007,NaN,tube_3,1.46,SE,"34.69138, 120.04548",,1.0,130,19/91,0-0,50-70,5-20,5-20
20.0215,lobata,lisque,20.1007,NaN,tube_1,NaN,SE,"34.69138, 120.04549",,1.1,131,19/92,0-1,50-71,5-21,5-21
20.0488,lobata,lisque,20.1007,NaN,tube_2,1.85,SW,"34.69138, 120.04550",,1.2,132,19/93,0-2,50-72,5-22,5-22
20.0486,lobata,lisque,20.1007,NaN,tube_3,1.78,SW,"34.69138, 120.04551",,1.3,133,19/94,0-3,50-73,5-23,5-23
20.0487,lobata,lisque,20.1007,NaN,tube_1,NaN,SW,"34.69138, 120.04552",,1.4,134,19/95,0-4,50-74,5-24,5-24
20.1007,lobata,lisque,20.1007,NaN,tree,NaN,NaN,"34.69138, 120.04553",,1.5,135,19/96,0-5,50-75,5-25,5-25
20.0109,lobata,lisque,20.1007,NaN,soils bag,NaN,N,"34.69138, 120.04553",,1.5,135,19/96,0-5,50-75,5-25,5-25
20.0674,lobata,lisque,20.1007,NaN,root bag,NaN,N,"34.69138, 120.04553",,1.5,135,19/96,0-5,50-75,5-25,5-25
20.0213,lobata,lisque,20.1007,NaN,soils bag,NaN,SE,"34.69138, 120.04553",,1.5,135,19/96,0-5,50-75,5-25,5-25
20.0795,lobata,lisque,20.1007,NaN,root bag,NaN,SE,"34.69138, 120.04553",,1.5,135,19/96,0-5,50-75,5-25,5-25
20.0485,lobata,lisque,20.1007,NaN,soils bag,NaN,SW,"34.69138, 120.04553",,1.5,135,19/96,0-5,50-75,5-25,5-25
20.0743,lobata,lisque,20.1007,NaN,root bag,NaN,SW,"34.69138, 120.04553",,1.5,135,19/96,0-5,50-75,5-25,5-25
20.0605,lobata,lisque,20.1008,NaN,tube_2,1.51,N,"34.69106, 120.04305",,8,64,39/87,5-16,50-66,25-41,5-16
20.0603,lobata,lisque,20.1008,NaN,tube_3,1.93,N,"34.69106, 120.04306",,7,65,39/88,5-17,50-67,25-42,5-17
20.0602,lobata,lisque,20.1008,NaN,tube_1,NaN,N,"34.69106, 120.04307",,6,66,39/89,5-18,50-68,25-43,5-18
20.0566,lobata,lisque,20.1008,NaN,tube_2,1.87,SE,"34.69106, 120.04308",,5,67,39/90,5-19,50-69,25-44,5-19
20.0567,lobata,lisque,20.1008,NaN,tube_3,1.87,SE,"34.69106, 120.04309",,4,68,39/91,5-20,50-70,25-45,5-20
20.0568,lobata,lisque,20.1008,NaN,tube_1,NaN,SE,"34.69106, 120.04310",,3,69,39/92,5-21,50-71,25-46,5-21
20.0091,lobata,lisque,20.1008,NaN,tube_1,1.22,SW,"34.69106, 120.04311",,2,70,39/93,5-22,50-72,25-47,5-22
20.0090,lobata,lisque,20.1008,NaN,tube_2,1.87,SW,"34.69106, 120.04312",,1,71,39/94,5-23,50-73,25-48,5-23
20.0092,lobata,lisque,20.1008,NaN,tube_3,NaN,SW,"34.69106, 120.04313",,0,72,39/95,5-24,50-74,25-49,5-24
20.1008,lobata,lisque,20.1008,NaN,tree,NaN,NaN,"34.69106, 120.04314",,1,73,39/96,5-25,50-75,25-50,5-25
20.0601,lobata,lisque,20.1008,NaN,soils bag,NaN,N,"34.69106, 120.04314",,1,73,39/96,5-25,50-75,25-50,5-25
20.0703,lobata,lisque,20.1008,NaN,root bag,NaN,N,"34.69106, 120.04314",,1,73,39/96,5-25,50-75,25-50,5-25
20.0565,lobata,lisque,20.1008,NaN,soils bag,NaN,SE,"34.69106, 120.04314",,1,73,39/96,5-25,50-75,25-50,5-25
20.0742,lobata,lisque,20.1008,NaN,root bag,NaN,SE,"34.69106, 120.04314",,1,73,39/96,5-25,50-75,25-50,5-25
20.0089,lobata,lisque,20.1008,NaN,soils bag,NaN,SW,"34.69106, 120.04314",,1,73,39/96,5-25,50-75,25-50,5-25
20.0736,lobata,lisque,20.1008,NaN,root bag,NaN,SW,"34.69106, 120.04314",,1,73,39/96,5-25,50-75,25-50,5-25
20.0178,lobata,lisque,20.1009,NaN,tube_1,1.48,N,"34.69104, 120.04308
",,8,51,27/87,5-16,75-86,5-16,0-4
20.0179,lobata,lisque,20.1009,NaN,tube_2,1.44,N,"34.69104, 120.04308
",,7,52,27/88,5-17,75-87,5-17,0-3
20.0180,lobata,lisque,20.1009,NaN,tube_3,NaN,N,"34.69104, 120.04308
",,6,53,27/89,5-18,75-88,5-18,0-2
20.0158,lobata,lisque,20.1009,NaN,tube_1,1.58,SE,"34.69104, 120.04308
",,5,54,27/90,5-19,75-89,5-19,0-1
20.0160,lobata,lisque,20.1009,NaN,tube_2,1.67,SE,"34.69104, 120.04308
",,4,55,27/91,5-20,75-90,5-20,0-0
20.0159,lobata,lisque,20.1009,NaN,tube_3,NaN,SE,"34.69104, 120.04308
",,3,56,27/92,5-21,75-91,5-21,0-1
20.0308,lobata,lisque,20.1009,NaN,tube_1,1.68,SW,"34.69104, 120.04308
",,2,57,27/93,5-22,75-92,5-22,0-2
20.0306,lobata,lisque,20.1009,NaN,tube_2,1.85,SW,"34.69104, 120.04308
",,1,58,27/94,5-23,75-93,5-23,0-3
20.0307,lobata,lisque,20.1009,NaN,tube_3,NaN,SW,"34.69104, 120.04308
",,0,59,27/95,5-24,75-94,5-24,0-4
20.1009,lobata,lisque,20.1009,NaN,tree,NaN,NaN,"34.69104, 120.04308
",,1,60,27/96,5-25,75-95,5-25,0-5
20.0177,lobata,lisque,20.1009,NaN,soils bag,NaN,N,"34.69104, 120.04308
",,1,60,27/96,5-25,75-95,5-25,0-5
20.0672,lobata,lisque,20.1009,NaN,root bag,NaN,N,"34.69104, 120.04308
",,1,60,27/96,5-25,75-95,5-25,0-5
20.0157,lobata,lisque,20.1009,NaN,soils bag,NaN,SE,"34.69104, 120.04308
",,1,60,27/96,5-25,75-95,5-25,0-5
20.0745,lobata,lisque,20.1009,NaN,root bag,NaN,SE,"34.69104, 120.04308
",,1,60,27/96,5-25,75-95,5-25,0-5
20.0305,lobata,lisque,20.1009,NaN,soils bag,NaN,SW,"34.69104, 120.04308
",,1,60,27/96,5-25,75-95,5-25,0-5
20.0776,lobata,lisque,20.1009,NaN,root bag,NaN,SW,"34.69104, 120.04308
",,1,60,27/96,5-25,75-95,5-25,0-5
20.0346,lobata,lisque,20.1010,NaN,tube_1,1.18,N,"34.69009,120.04424",,8,160,35/87,5-16,50-66,0-4,5-16
20.0348,lobata,lisque,20.1010,NaN,tube_1,1.63,N,"34.69009,120.04425",,7,161,35/88,5-17,50-67,0-3,5-17
20.0347,lobata,lisque,20.1010,NaN,tube_2,NaN,N,"34.69009,120.04426",,6,162,35/89,5-18,50-68,0-2,5-18
20.0194,lobata,lisque,20.1010,NaN,tube_3,1.58,SE,"34.69009,120.04427",,5,163,35/90,5-19,50-69,0-1,5-19
20.0195,lobata,lisque,20.1010,NaN,tube_1,1.56,SE,"34.69009,120.04428",,4,164,35/91,5-20,50-70,0-0,5-20
20.0196,lobata,lisque,20.1010,NaN,tube_2,,SE,"34.69009,120.04429",,3,165,35/92,5-21,50-71,0-1,5-21
20.0388,lobata,lisque,20.1010,NaN,tube_3,1.71,SW,"34.69009,120.04430",,2,166,35/93,5-22,50-72,0-2,5-22
20.0386,lobata,lisque,20.1010,NaN,tube_1,1.61,SW,"34.69009,120.04431",,1,167,35/94,5-23,50-73,0-3,5-23
20.0387,lobata,lisque,20.1010,NaN,tube_2,NaN,SW,"34.69009,120.04432",,0,168,35/95,5-24,50-74,0-4,5-24
20.1010,lobata,lisque,20.1010,NaN,tree,NaN,NaN,"34.69009,120.04433",,1,169,35/96,5-25,50-75,0-5,5-25
20.0345,lobata,lisque,20.1010,NaN,soils bag,NaN,N,"34.69009,120.04433",,1,169,35/96,5-25,50-75,0-5,5-25
20.0753,lobata,lisque,20.1010,NaN,root bag,NaN,N,"34.69009,120.04433",,1,169,35/96,5-25,50-75,0-5,5-25
20.0193,lobata,lisque,20.1010,NaN,soils bag,NaN,SE,"34.69009,120.04433",,1,169,35/96,5-25,50-75,0-5,5-25
20.0787,lobata,lisque,20.1010,NaN,root bag,NaN,SE,"34.69009,120.04433",,1,169,35/96,5-25,50-75,0-5,5-25
20.0385,lobata,lisque,20.1010,NaN,soils bag,NaN,SW,"34.69009,120.04433",,1,169,35/96,5-25,50-75,0-5,5-25
20.0771,lobata,lisque,20.1010,NaN,root bag,NaN,SW,"34.69009,120.04433",,1,169,35/96,5-25,50-75,0-5,5-25
20.0010,lobata,windmill,20.1011,NaN,tube_3,1.71,N,"34.69808,120.03057",,9,110,20/87,9,75-86,0-4,0-4
20.0012,lobata,windmill,20.1011,NaN,tube_1,1.30,N,"34.69808,120.03058",,8,111,20/88,8,75-87,0-3,0-3
20.0011,lobata,windmill,20.1011,NaN,tube_2,NaN,N,"34.69808,120.03059",,7,112,20/89,7,75-88,0-2,0-2
20.0052,lobata,windmill,20.1011,NaN,tube_3,1.52,SE,"34.69808,120.03060",,6,113,20/90,6,75-89,0-1,0-1
20.0050,lobata,windmill,20.1011,NaN,tube_1,1.53,SE,"34.69808,120.03061",,5,114,20/91,5,75-90,0-0,0-0
20.0051,lobata,windmill,20.1011,NaN,tube_1,NaN,SE,"34.69808,120.03062",,4,115,20/92,4,75-91,0-1,0-1
20.0394,lobata,windmill,20.1011,NaN,tube_2,1.31,SW,"34.69808,120.03063",,3,116,20/93,3,75-92,0-2,0-2
20.0396,lobata,windmill,20.1011,NaN,tube_3,1.81,SW,"34.69808,120.03064",,2,117,20/94,2,75-93,0-3,0-3
20.0395,lobata,windmill,20.1011,NaN,tube_1,NaN,SW,"34.69808,120.03065",,1,118,20/95,1,75-94,0-4,0-4
20.1011,lobata,windmill,20.1011,NaN,tree,NaN,NaN,"34.69808,120.03066",,0,119,20/96,0,75-95,0-5,0-5
20.0009,lobata,windmill,20.1011,NaN,soils bag,NaN,N,"34.69808,120.03066",,0,119,20/96,0,75-95,0-5,0-5
20.0748,lobata,windmill,20.1011,NaN,root bag,NaN,N,"34.69808,120.03066",,0,119,20/96,0,75-95,0-5,0-5
20.0049,lobata,windmill,20.1011,NaN,soils bag,NaN,SE,"34.69808,120.03066",,0,119,20/96,0,75-95,0-5,0-5
20.0794,lobata,windmill,20.1011,NaN,root bag,NaN,SE,"34.69808,120.03066",,0,119,20/96,0,75-95,0-5,0-5
20.0393,lobata,windmill,20.1011,NaN,soils bag,NaN,SW,"34.69808,120.03066",,0,119,20/96,0,75-95,0-5,0-5
20.0688,lobata,windmill,20.1011,NaN,root bag,NaN,SW,"34.69808,120.03066",,0,119,20/96,0,75-95,0-5,0-5
