Sequence,20-0027-DNA,20-0027-RNA,20-0030-DNA,20-0030-RNA,20-0036-DNA,20-0036-RNA,20-0048-RNA,20-0052-DNA,20-0052-RNA,20-0071-DNA,20-0071-RNA,20-0078-DNA,20-0078-RNA,20-0095-DNA,20-0095-RNA,20-0103-DNA,20-0103-RNA,20-0115-DNA,20-0115-RNA,20-0123-DNA,20-0123-RNA,20-0140-DNA,20-0140-RNA,20-0143-DNA,20-0143-RNA,20-0148-DNA,20-0148-RNA,20-0150-DNA,20-0150-RNA,20-0166-DNA,20-0166-RNA,20-0171-DNA,20-0171-RNA,20-0180-RNA,20-0186-DNA,20-0210-DNA,20-0210-RNA,20-0219-DNA,20-0219-RNA,20-0224-DNA,20-0224-RNA,20-0226-DNA,20-0226-RNA,20-0235-DNA,20-0235-RNA,20-0240-DNA,20-0240-RNA,20-0250-DNA,20-0250-RNA,20-0255-DNA,20-0255-RNA,20-0256-DNA,20-0256-RNA,20-0283-DNA,20-0283-RNA,20-0290-DNA,20-0290-RNA,20-0311-DNA,20-0311-RNA,20-0324-DNA,20-0324-RNA,20-0327-DNA,20-0327-RNA,20-0331-DNA,20-0331-RNA,20-0335-DNA,20-0335-RNA,20-0351-DNA,20-0351-RNA,20-0360-DNA,20-0362-DNA,20-0400-DNA,20-0400-RNA,20-0418-DNA,20-0418-RNA,20-0425-DNA,20-0425-RNA,20-0426-DNA,20-0426-RNA,20-0442-DNA,20-0442-RNA,20-0454-DNA,20-0454-RNA,20-0466-DNA,20-0466-RNA,20-0474-DNA,20-0474-RNA,20-0479-DNA,20-0479-RNA,20-0503-DNA,20-0503-RNA,20-0506-DNA,20-0506-RNA,20-0515-DNA,20-0515-RNA,20-0524-DNA,20-0524-RNA,20-0536-RNA,20-0538-DNA,20-0538-RNA,20-0543-DNA,20-0543-RNA,20-0564-DNA,20-0564-RNA,20-0578-DNA,20-0578-RNA,20-0583-DNA,20-0583-RNA,20-0593-DNA,20-0593-RNA,20-0599-DNA,20-0599-RNA,20-0608-DNA,20-0608-RNA,20-0611-DNA,20-0611-RNA,20-0618-DNA,20-0618-RNA,20-0623-DNA,20-0623-RNA,20-0626-DNA,20-0626-RNA,20-0632-RNA
Seq21,0,0,0,0,49,0,0,25377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,51852,0,0,0,0,0,0,0,0,379,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4600,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seq22,0,0,0,0,0,3624,8475,27,0,301,0,415,0,407,541,0,0,0,3,0,101,1184,606,0,63,0,66,0,23,0,0,0,0,0,0,0,9,0,0,0,0,77,0,13,0,2031,0,0,0,0,0,2721,0,0,0,0,0,0,0,0,0,2791,154,0,0,0,0,0,0,0,32,643,3479,12957,0,0,0,0,0,0,0,0,0,0,1197,0,4379,0,0,6096,11,38,0,0,0,108,155,0,0,0,0,0,0,6834,49,0,0,0,0,0,417,0,0,4562,0,0,0,759,47,1256,159,0,0
Seq23,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9662,0,0,174,0,0,0,0,0,0,0,2257,0,0,0,18485,0,0,0,0,0,0,0,0,0,0,0,0,0,8,488,0,0,0,0,0,5950,0,0,4,0,0,12695,0,0,0,0,0,0,0,2626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3788,0,6607,0
Seq24,0,0,0,0,0,0,0,0,0,13966,26,0,0,0,245,0,0,0,0,0,4470,0,0,0,0,54,0,0,803,0,0,0,0,4846,0,0,0,127,0,0,30,0,922,0,0,0,0,2092,14,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,109,0,0,0,46,0,0,60,0,0,0,0,0,0,0,0,0,0,57,0,2012,0,420,0,0,0,74,0,0,0,0,0,0,0,77,0,0,94,0,0,0,29087,0,0,39,0,0,0,0,11,0,471,6,42
Seq25,6582,0,0,216,0,0,3,4,0,0,0,0,67,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,10709,0,0,0,0,575,0,0,0,0,0,0,0,0,0,0,214,20,0,0,0,0,0,0,0,0,0,13630,0,4,0,0,39,4,0,3,0,0,0,0,0,14676,0,334,0,0,0,802,0,3,0,0,0,0,3608,0,0,0,0,82,0,2567,1219,3045,0,4,0,153,0,0,20,0,3,84,0,0,0,0,0,0,0,0,0,0,0
Seq26,3,0,67,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,13886,0,1764,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2078,0,0,0,0,0,0,0,0,0,0,20703,0,0,0,0,0,0,0,0,216,0,1967,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,6008,0,0,0,1044,10643,51,0,0,0
Seq27,0,605,0,0,130,197,0,0,0,0,1066,0,0,0,302,0,2594,0,0,125,0,6562,60,0,0,135,0,0,0,347,0,0,43,477,0,0,0,0,0,1684,125,51,0,33295,0,0,0,0,90,0,325,120,183,85,0,0,0,0,0,0,0,0,0,0,17,0,0,0,681,866,32,37,0,100,0,0,780,0,0,0,0,0,0,26,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,3332,0,0,0,0,2892,0,0,0,0,0,0,0,0,110,0,0
Seq28,0,3,0,0,8,0,10,79,178,341,0,85,0,0,0,0,0,0,0,446,133,602,262,0,0,0,0,0,0,144,0,0,0,0,0,0,22,0,0,0,0,25,0,636,0,62,0,0,0,0,117,388,168,0,3894,5,0,0,0,3,0,399,32,0,0,0,8755,0,0,0,48,0,6,1179,0,0,0,0,0,0,0,0,0,40,106,0,0,0,0,0,0,37573,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,19,0,0,0,70,0,209,0,0,0,0,102,0,14,0,0
Seq29,47,0,0,8323,0,1420,0,0,3776,0,33,0,0,0,0,0,0,0,0,17,0,0,0,0,0,782,44,0,0,0,0,0,0,0,0,0,130,7022,0,0,14262,13,1083,2427,0,0,0,719,788,0,0,0,0,0,0,0,0,0,0,10,0,6,0,0,0,20,11,38,0,80,7,0,0,0,0,0,0,0,0,24,45,2546,0,6,0,6750,0,92,123,0,259,67,0,0,109,0,0,0,207,59,0,29,0,0,4,2682,24,0,55,0,0,361,0,0,0,0,0,0,0,0,0,49,69
Seq30,0,8,22218,0,0,0,0,0,0,0,0,0,0,19,0,4865,0,0,0,0,0,82,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,1688,0,0,0,4551,2672,0,0,0,0,0,0,0,0,0,0,2616,0,0,0,0,0,0,0,1565,0,0,13,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13176,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0
Seq31,1067,52,54,85,55,394,413,63,2346,296,198,22,929,43,183,351,2066,0,155,661,280,1364,87,0,0,1638,0,236,51,680,626,0,628,1190,328,0,306,424,1400,239,552,27,1014,1042,235,207,364,1013,999,0,683,893,711,792,507,571,0,0,451,147,0,100,34,0,1650,298,69,220,912,703,224,759,250,254,494,0,1514,0,5,10,70,87,550,114,201,258,0,957,76,908,1396,684,843,0,476,289,108,24,225,33,613,54,0,446,226,131,151,380,122,142,383,599,0,247,160,2875,0,153,6,1792,62,417,781
