Sequence,root,cellular,domain,group,kingdom,,,,,,,,,,,,,,,,,,,,,,
Seq7135,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Hypocreomycetidae,Hypocreales,unclassified Hypocreales,Hypocreales sp. REF170,,,,,,,,,,,
Seq8814,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Hypocreomycetidae,Hypocreales,unclassified Hypocreales,Hypocreales sp. REF170,,,,,,,,,,,
Seq3647,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Hypocreomycetidae,Microascales,,,,,,,,,,,,,
Seq7836,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Hypocreomycetidae,Microascales,,,,,,,,,,,,,
Seq475,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Hypocreomycetidae,Microascales,unclassified Microascales,Microascales sp. F57,,,,,,,,,,,
Seq908,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Hypocreomycetidae,Microascales,unclassified Microascales,Microascales sp. F57,,,,,,,,,,,
Seq2628,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Hypocreomycetidae,Microascales,unclassified Microascales,Microascales sp. F57,,,,,,,,,,,
Seq3776,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Hypocreomycetidae,Microascales,unclassified Microascales,Microascales sp. F57,,,,,,,,,,,
Seq1706,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Hypocreomycetidae,Pleurotheciales,Pleurotheciaceae,,,,,,,,,,,,
Seq2919,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Hypocreomycetidae,Pleurotheciales,Pleurotheciaceae,,,,,,,,,,,,
Seq3049,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Hypocreomycetidae,Pleurotheciales,Pleurotheciaceae,,,,,,,,,,,,
Seq4793,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Hypocreomycetidae,Pleurotheciales,Pleurotheciaceae,,,,,,,,,,,,
Seq6440,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Hypocreomycetidae,Pleurotheciales,Pleurotheciaceae,,,,,,,,,,,,
Seq7459,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Hypocreomycetidae,Pleurotheciales,Pleurotheciaceae,,,,,,,,,,,,
Seq8289,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Hypocreomycetidae,Pleurotheciales,Pleurotheciaceae,,,,,,,,,,,,
Seq7184,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Hypocreomycetidae,Savoryellales,Savoryellaceae,Ascotaiwania,,,,,,,,,,,
Seq7705,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Hypocreomycetidae,Savoryellales,Savoryellaceae,Ascotaiwania,,,,,,,,,,,
Seq8216,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Hypocreomycetidae,Savoryellales,Savoryellaceae,Ascotaiwania,,,,,,,,,,,
Seq9476,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Hypocreomycetidae,Savoryellales,Savoryellaceae,Ascotaiwania,,,,,,,,,,,
Seq442,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,,,,,,,,,,,,,,
Seq470,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,,,,,,,,,,,,,,
Seq607,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,,,,,,,,,,,,,,
Seq634,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,,,,,,,,,,,,,,
Seq637,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,,,,,,,,,,,,,,
Seq907,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,,,,,,,,,,,,,,
Seq919,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,,,,,,,,,,,,,,
Seq937,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,,,,,,,,,,,,,,
Seq1048,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,,,,,,,,,,,,,,
Seq1139,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,,,,,,,,,,,,,,
Seq1241,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,,,,,,,,,,,,,,
Seq1409,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,,,,,,,,,,,,,,
Seq1458,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,,,,,,,,,,,,,,
Seq1898,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,,,,,,,,,,,,,,
Seq2015,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,,,,,,,,,,,,,,
Seq2331,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,,,,,,,,,,,,,,
Seq2864,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,,,,,,,,,,,,,,
Seq2899,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,,,,,,,,,,,,,,
Seq3153,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,,,,,,,,,,,,,,
Seq3923,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,,,,,,,,,,,,,,
Seq4632,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,,,,,,,,,,,,,,
Seq4704,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,,,,,,,,,,,,,,
Seq4826,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,,,,,,,,,,,,,,
Seq4962,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,,,,,,,,,,,,,,
Seq5193,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,,,,,,,,,,,,,,
Seq5482,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,,,,,,,,,,,,,,
Seq5757,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,,,,,,,,,,,,,,
Seq5855,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,,,,,,,,,,,,,,
Seq5857,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,,,,,,,,,,,,,,
Seq5904,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,,,,,,,,,,,,,,
Seq6782,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,,,,,,,,,,,,,,
Seq7218,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,,,,,,,,,,,,,,
Seq7220,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,,,,,,,,,,,,,,
Seq7704,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,,,,,,,,,,,,,,
Seq7852,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,,,,,,,,,,,,,,
Seq8162,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,,,,,,,,,,,,,,
Seq9510,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,,,,,,,,,,,,,,
Seq2549,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Coniochaetales,Coniochaetaceae,,,,,,,,,,,,
Seq6579,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Coniochaetales,Coniochaetaceae,,,,,,,,,,,,
Seq7645,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Coniochaetales,Coniochaetaceae,,,,,,,,,,,,
Seq558,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Coniochaetales,Coniochaetaceae,Coniochaeta,,,,,,,,,,,
Seq662,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Coniochaetales,Coniochaetaceae,Coniochaeta,,,,,,,,,,,
Seq2135,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Coniochaetales,Coniochaetaceae,Coniochaeta,,,,,,,,,,,
Seq2199,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Coniochaetales,Coniochaetaceae,Coniochaeta,,,,,,,,,,,
Seq3313,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Coniochaetales,Coniochaetaceae,Coniochaeta,,,,,,,,,,,
Seq3886,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Coniochaetales,Coniochaetaceae,Coniochaeta,,,,,,,,,,,
Seq4808,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Coniochaetales,Coniochaetaceae,Coniochaeta,,,,,,,,,,,
Seq5239,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Coniochaetales,Coniochaetaceae,Coniochaeta,,,,,,,,,,,
Seq7322,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Coniochaetales,Coniochaetaceae,Coniochaeta,,,,,,,,,,,
Seq340,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Diaporthales,,,,,,,,,,,,,
Seq3062,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Diaporthales,,,,,,,,,,,,,
Seq3890,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Diaporthales,,,,,,,,,,,,,
Seq5188,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Diaporthales,,,,,,,,,,,,,
Seq5287,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Diaporthales,,,,,,,,,,,,,
Seq5533,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Diaporthales,,,,,,,,,,,,,
Seq7388,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Diaporthales,,,,,,,,,,,,,
Seq9234,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Diaporthales,,,,,,,,,,,,,
Seq2552,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Magnaporthales,Magnaporthaceae,Gaeumannomyces,,,,,,,,,,,
Seq2557,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Magnaporthales,Magnaporthaceae,Gaeumannomyces,,,,,,,,,,,
Seq5054,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Magnaporthales,Magnaporthaceae,Gaeumannomyces,,,,,,,,,,,
Seq8349,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Magnaporthales,Magnaporthaceae,Gaeumannomyces,,,,,,,,,,,
Seq2286,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Ophiostomatales,Ophiostomataceae,,,,,,,,,,,,
Seq2825,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Ophiostomatales,Ophiostomataceae,,,,,,,,,,,,
Seq3481,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Ophiostomatales,Ophiostomataceae,,,,,,,,,,,,
Seq4287,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Ophiostomatales,Ophiostomataceae,,,,,,,,,,,,
Seq4443,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Ophiostomatales,Ophiostomataceae,,,,,,,,,,,,
Seq5998,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Ophiostomatales,Ophiostomataceae,,,,,,,,,,,,
Seq565,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Phyllachorales,,,,,,,,,,,,,
Seq597,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Phyllachorales,,,,,,,,,,,,,
Seq859,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Phyllachorales,,,,,,,,,,,,,
Seq961,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Phyllachorales,,,,,,,,,,,,,
Seq1004,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Phyllachorales,,,,,,,,,,,,,
Seq1386,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Phyllachorales,,,,,,,,,,,,,
Seq1867,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Phyllachorales,,,,,,,,,,,,,
Seq2279,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Phyllachorales,,,,,,,,,,,,,
Seq4228,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Phyllachorales,,,,,,,,,,,,,
Seq5594,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Phyllachorales,,,,,,,,,,,,,
Seq6170,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Phyllachorales,,,,,,,,,,,,,
Seq6262,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Phyllachorales,,,,,,,,,,,,,
Seq6757,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Phyllachorales,,,,,,,,,,,,,
Seq8058,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Phyllachorales,,,,,,,,,,,,,
Seq8251,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Phyllachorales,,,,,,,,,,,,,
Seq50,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Sordariales,,,,,,,,,,,,,
Seq101,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Sordariales,,,,,,,,,,,,,
Seq300,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Sordariales,,,,,,,,,,,,,
Seq321,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Sordariales,,,,,,,,,,,,,
Seq323,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Sordariales,,,,,,,,,,,,,
Seq383,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Sordariales,,,,,,,,,,,,,
Seq395,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Sordariales,,,,,,,,,,,,,
Seq401,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Sordariales,,,,,,,,,,,,,
Seq557,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Sordariales,,,,,,,,,,,,,
Seq570,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Sordariales,,,,,,,,,,,,,
Seq658,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Sordariales,,,,,,,,,,,,,
Seq676,root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Sordariales,,,,,,,,,,,,,
