Sequence,root,cellular,domain,group,kingdom,,,,,,,,,,,,,,,,,,,,,,
Seq2361,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2364,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2374,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2385,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2419,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2431,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2462,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2464,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2480,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2485,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2533,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2554,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2570,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2602,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2655,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2707,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2708,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2744,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2774,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2816,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2827,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2914,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2915,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2918,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2922,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2951,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2971,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2981,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2982,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2994,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2995,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3002,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3013,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3015,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3027,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3066,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3084,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3104,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3113,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3136,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3157,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3164,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3165,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3183,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3192,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3193,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3204,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3209,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
